ID,Beschreibung,Kategorie ID,Kategorietext,Unterkategorie ID,Unterkategorietext,Ticket Label,Abteilung Label,Produkt Label,Priorität,Status,Angelegt Am,Angelegt Von,Geändert Am,Geändert Von,Auftraggeber,Meldender,Support Team,Bearbeiter,Erste Nachricht,Letzte Nachricht
2000014977,Current problem with ERPsim simulations ,ZSD_SR_GBI ,SAP ERP GBI , , ,2. Level ,Applikation ,ERPsim ,3: mittel ,E0008 Quittiert ,2024.01.11	03:28:57,U2AU002SB1 ,2024.02.01	18:00:08,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000047 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.01.11	03:28:57,2024.02.01	18:00:08
2000014978,Fiori Access ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.12	11:42:41,U2GB050DP1 ,2024.02.21	18:00:24,MASTER-ADM ,U2GB050 Ulster University ,U2GB050DP1 Herr David Pettigrew ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.12	11:42:41,2024.02.21	18:00:24
2000014979,SAP Fiori not working ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Applikation ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.01.13	21:44:01,U2PL019PP1 ,2024.02.02	21:51:58,U2PL019PP1 ,U2PL019 WSB Merito University in Poznan ,U2PL019PP1 Herr Piotr Pudelski ,0000000047 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.13	21:43:59,2024.01.15	18:02:14
2000014980,Übung ODATA Services SAP Application Dev,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.01.15	11:49:17,H2951SR1 ,2024.02.22	18:01:01,BORYS ,H2951 Staatl. Berufliches Schulzentrum Wiesau ,H2951SR1 Herr Stephan Rippert ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.15	11:49:16,2024.02.22	18:01:01
2000014981,Login nicht möglich ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,2. Level ,Applikation ,SAP4School ,3: mittel ,E0008 Quittiert ,2024.01.15	12:28:06,H2874FS1 ,2024.02.06	18:00:29,BORYS ,H2874 Staatl. Berufsschule II Kempten - BS II Staatl. Wirtschaftsschule Kempten - WS ,H2874FS1 Herr Frank Schwarz ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.15	12:28:06,2024.02.06	18:00:29
2000014982,SAP Zugang teilweise nicht möglich ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.15	12:59:20,H2852RS1 ,2024.02.04	18:00:11,BORYS ,H2852 Technikerschule der Stadt Ingolstadt - TSIN ,H2852RS1 Frau Regina Herzog ,0000000046 BAS Basis ,H2851US4 Herr UCC Support,2024.01.15	12:59:20,2024.02.04	18:00:11
2000014983,Fehlermeldung bei SAP-Installation ,ZSD_SR_GUI ,SAP GUI , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.15	19:18:37,U2ES025JL1 ,2024.02.12	18:00:43,BORYS ,U2ES025 FEDA Madrid ,U2ES025JL1 Frau Jenny Lindner ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.01.15	19:18:36,2024.02.12	18:00:43
2000014984,Contract Renewal for HCMCUT ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_MR ,Mandantenrücksetzung ,2. Level ,Basis ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.01.16	03:07:38,U2AU002SB1 ,2024.02.12	18:00:45,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.16	03:07:38,2024.02.12	18:00:45
2000014985,ERPsim Client Reset ,ZSD_SR_SIM ,SAP ERPsim , , ,1. Level ,Applikation ,ERPsim ,3: mittel ,E0008 Quittiert ,2024.01.16	09:43:03,H2851US4 ,2024.02.05	18:00:46,BORYS ,U2GB004YF1 Yiyi Fan ,U2GB004YF1 Frau Yiyi Fan ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.16	09:43:03,2024.02.05	18:00:46
2000014986,Fehler TA Arbeitsplan anlegen ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_SON ,Sonstiges ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.16	11:31:32,H2808HD1 ,2024.02.25	18:00:06,MASTER-ADM ,H2808 Staatsinstitut für Schulqualität und Bildungsforschung München - ISB ,H2808HD1 Herr Harald Decker ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.16	11:31:32,2024.02.25	18:00:06
2000014987,Zurücksetzung des Masterzugangspassworts,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,1. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.16	12:02:46,H2964SK1 ,2024.02.05	18:00:49,BORYS ,H2964 Lorenz-Kaim-Schule Kronach ,H2964SK1 Herr Stefan König ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.16	12:02:46,2024.02.05	18:00:49
2000014988,Anmeldung via SAP GUI ,ZSD_SR_GUI ,SAP GUI , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.16	12:07:34,H2781JW2 ,2024.02.06	18:00:31,BORYS ,H2781 Hochschule Furtwangen ,H2781JW2 Herr Jürgen Weiner ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.16	12:07:34,2024.02.06	18:00:31
2000014989,Connection issue ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.16	13:31:28,H2851US4 ,2024.01.18	15:44:39,H2851NB3 ,U2IL001 The Academic College of Tel Aviv Yaffo ,U2IL001DD1 Herr David Danieli ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.16	13:31:28,2024.01.18	15:44:30
2000014990,Freischaltung User H2521SB2 ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_EMEA ,EMEA Portal / UAC ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.16	13:52:55,H2521TS1 ,2024.02.05	18:00:49,BORYS ,H2521 RWTH Aachen University ,H2521TS1 Herr Tobias Schröer ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.16	13:52:55,2024.02.05	18:00:49
2000014991,SAP S/4 HANA is very slow ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Basis ,GBI ,1: sehr hoch ,E0008 Quittiert ,2024.01.16	16:44:46,U2GB006UJ1 ,2024.02.27	18:00:05,MASTER-ADM ,U2GB006 Loughborough University ,U2GB006UJ1 Herr Uchitha Jayawickrama ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.16	16:44:46,2024.02.27	18:00:05
2000014992,Prüfung am SAP-System ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.17	10:57:19,H2702AR1 ,2024.02.06	18:00:29,BORYS ,H2702 Hochschule für Technik Stuttgart ,H2702AR1 Herr Alexander Rausch ,0000000047 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.01.17	10:57:18,2024.02.06	18:00:29
2000014993,Zugriff mit MS Power BI auf Datenbank ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_AA ,S/4HANA unabhängig von GBI ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.17	14:42:14,H2501PE1 ,2024.01.22	19:57:39,H2501PE1 ,H2501 Bundesfinanzakademie BFA Brühl vertragsführende Stelle: ITZ Bund Bonn ,H2501PE1 Herr Peter Etzkorn ,0000000048 SEK Verwaltung ,H2851CS3 Frau Christine Starflinger,2024.01.17	14:42:14,2024.01.22	15:43:48
2000014994,Performanceprobleme - Workflow ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Basis ,GBI ,1: sehr hoch ,E0008 Quittiert ,2024.01.18	15:10:38,H2978NN2 ,2024.02.15	18:00:06,BORYS ,H2978 Julius-Maximilians-Universität Würzburg ,H2978NN2 Herr Nicolas Neis ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.01.18	15:10:38,2024.02.15	18:00:06
2000014995,Lehrbeauftragte als Teilnehmerin ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,2. Level ,Applikation ,TS410 ,3: mittel ,E0008 Quittiert ,2024.01.18	15:59:04,H2671TM1 ,2024.02.18	18:00:50,BORYS ,H2671 Hochschule Worms ,H2671TM1 Herr Tobias Meyer ,0000000047 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.18	15:59:04,2024.02.18	18:00:50
2000014996,ERPsim Game (Jan 2024) - SUSS ,ZSD_SR_SIM ,SAP ERPsim ,ZSD_SR_SIM_SON ,Sonstiges ,2. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.19	05:05:32,U2AU002SB1 ,2024.02.11	18:00:54,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.01.19	05:05:32,2024.02.11	18:00:54
2000014997,master account locked ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.19	09:54:04,U2GR013KL1 ,2024.02.08	18:00:39,BORYS ,U2GR013 The American College of Greece - ACG DEREE College ,U2GR013KL1 Herr Konstantinos Leftheriotis ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.19	09:54:04,2024.02.08	18:00:39
2000014998,H-User für Herrn Wolf P. Kaczmarczyk ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,2. Level ,Vertrag ,UCC Portal ,3: mittel ,E0008 Quittiert ,2024.01.20	10:42:23,H2691UL1 ,2024.01.22	16:22:30,H2691UL1 ,H2691 SAP UA Deutschland ,H2691UL1 Herr Uwe Lebefromm ,0000000048 SEK Verwaltung ,H2851CS3 Frau Christine Starflinger,2024.01.20	10:42:23,2024.01.22	16:18:41
2000014999,Fehler Customer Self-Service ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_RL ,Remote Login ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.22	09:20:31,H2592MW1 ,2024.02.11	18:00:58,BORYS ,H2592 Hochschule für Finanzen NRW www.fhf-nordkirchen.de ,H2592MW1 Herr Michael Wendt ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.22	09:20:31,2024.02.11	18:00:58
2000015000,S76 301/302 über Fiori nicht nutzbar. ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,1. Level ,Basis , ,3: mittel ,E0008 Quittiert ,2024.01.22	18:50:48,H2601RB2 ,2024.02.12	18:00:46,BORYS ,H2601 Frankfurt University of Applied Sciences ,H2601RB2 Herr Ralf Banning ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.22	18:50:48,2024.02.12	18:00:46
2000015001,1 sender 0 receveirs ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_FP ,Fallstudienproblem ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.01.22	20:53:30,U2IL011DD1 ,2024.02.20	18:00:11,BORYS ,U2IL011 Ono Academic College ,U2IL011DD1 Herr David Danieli ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.22	20:53:30,2024.02.20	18:00:11
2000015002,Poor system performance ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Basis , ,3: mittel ,E0008 Quittiert ,2024.01.22	21:01:37,U2IL011DD1 ,2024.02.12	18:00:46,BORYS ,U2IL011 Ono Academic College ,U2IL011DD1 Herr David Danieli ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.01.22	21:01:37,2024.02.12	18:00:46
2000015003,Erneut Zugriffsprobleme ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.23	07:37:11,H2451MW1 ,2024.02.12	18:00:44,BORYS ,H2451 Universität Duisburg-Essen UDE ,H2451MW1 Frau Mareen Wienand ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.01.23	07:37:11,2024.02.12	18:00:44
