ID,Beschreibung,Kategorie ID,Kategorietext,Unterkategorie ID,Unterkategorietext,Ticket Label,Abteilung Label,Produkt Label,Priorität,Status,Angelegt Am,Angelegt Von,Geändert Am,Geändert Von,Auftraggeber,Meldender,Support Team,Bearbeiter,Erste Nachricht,Letzte Nachricht
2000015060,S-User ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.02.12	13:17:02,H2441WZ1 ,2024.03.21	18:00:12,BORYS ,H2441 Fachhochschule Dortmund ,H2441WZ1 Herr Wolfgang Zacharias ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.12	13:17:02,2024.03.21	18:00:12
2000015061,SRücksetzung Mandant 300 des Systems S81,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_MR ,Mandantenrücksetzung ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.12	15:50:00,H2452JP1 ,2024.03.05	18:00:11,BORYS ,H2452 FOM Hochschule Essen ,H2452JP1 Herr Jürgen Propach ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.02.12	15:50:00,2024.03.05	18:00:11
2000015062,Rücksetzung Mandant 301 des Systems S81 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_MR ,Mandantenrücksetzung ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.12	15:52:03,H2452JP1 ,2024.03.10	18:00:19,BORYS ,H2452 FOM Hochschule Essen ,H2452JP1 Herr Jürgen Propach ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.02.12	15:52:03,2024.03.10	18:00:19
2000015063,Masteruser Login ,ZSD_SR_AA ,Allgemeine Anfragen , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.13	07:14:34,H2561CS2 ,2024.03.06	18:00:07,BORYS ,H2561 Hochschule Koblenz ,H2561CS2 Frau Caroline Selsam ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.13	07:14:34,2024.03.06	18:00:07
2000015064,Neuer User funktioniert nicht richtig ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.13	09:09:20,H2503JB1 ,2024.03.06	18:00:07,BORYS ,H2503 Rheinische Hochschule Köln ,H2503JB1 Herr Joachim Bloemer ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.13	09:09:20,2024.03.06	18:00:07
2000015065,case study general query ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FPS ,GBS Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.14	12:02:33,U2GB050DP1 ,2024.03.05	18:00:11,BORYS ,U2GB050 Ulster University ,U2GB050DP1 Herr David Pettigrew ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.02.14	12:02:33,2024.03.05	18:00:11
2000015066,Request a new GBI 4.1 for TARUCFCIT ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.15	04:23:22,U2AU002SB1 ,2024.03.27	18:00:23,MASTER-ADM ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.15	04:23:22,2024.03.27	18:00:23
2000015067,Help with Intro S4Hana required ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.15	08:59:08,H2851US4 ,2024.03.26	18:00:10,MASTER-ADM ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.15	08:59:08,2024.03.26	18:00:10
2000015068,Web-Dynpro-Anwendung nicht aufrufbar ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Basis ,GBI ,3: mittel ,E0002 In Bearbeitung ,2024.02.15	10:52:34,H2901RW1 ,2024.02.20	10:54:09,UCCSERVICE ,H2901 Technische Hochschule Nürnberg Georg Simon Ohm ,H2901RW1 Herr Rainer Weber ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.15	10:52:34,2024.02.15	14:07:37
2000015069,kein Zugang MAC-Computer ,ZSD_SR_S4SCH ,SAP4school IUS ,ZSD_SR_S4SCH_SE ,System Erreichbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.15	11:35:24,U2ES030KJ1 ,2024.03.06	18:00:08,BORYS ,U2ES030 FEDA-Barcelona ,U2ES030KJ1 Frau Kathleen Jahn ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.15	11:35:24,2024.03.06	18:00:08
2000015070,UCC Portal - keine Self-Service Apps ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_RL ,Remote Login ,1. Level ,Applikation ,UCC Portal ,3: mittel ,E0008 Quittiert ,2024.02.15	15:56:39,H2503MW1 ,2024.02.20	19:51:40,H2503MW1 ,H2503 Rheinische Hochschule Köln ,H2503MW1 Herr Martin Wendt ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.15	15:56:39,2024.02.19	17:30:58
2000015071,Quotation Approval ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.16	13:02:32,H2961EG1 ,2024.03.10	18:00:21,BORYS ,H2961 Hochschule Coburg ,H2961EG1 Herr Eduard Gerhardt ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.16	13:02:32,2024.03.10	18:00:21
2000015072,Portfreigabe ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_AA ,S/4HANA unabhängig von GBI ,2. Level ,Basis ,Sonstiges ,2: hoch ,E0008 Quittiert ,2024.02.16	15:55:57,H2891MP1 ,2024.03.30	18:00:05,MASTER-ADM ,H2891 Hochschule Neu-Ulm ,H2891MP1 Herr Max Priester ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.02.16	15:55:57,2024.03.30	18:00:05
2000015073,GBI 4.2 Auslieferungsliste ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.19	11:19:59,H2851CS3 ,2024.03.10	18:00:21,BORYS ,H2851 Technische Universität München ,H2851CS3 Frau Christine Starflinger ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.19	11:19:58,2024.03.10	18:00:21
2000015074,Link to XML file on server ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_SON ,Sonstiges ,2. Level ,Applikation ,SAP4School ,3: mittel ,E0008 Quittiert ,2024.02.19	11:42:19,H2851US4 ,2024.03.05	14:39:36,H2851NB3 ,H2937 Berufsfachschule für Büroberufe BFS Regensburg BOS Wirtschaft ,H2937KS1 Herr Karl Semmler ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.19	11:42:18,2024.02.20	09:09:06
2000015075,Transportaufträge AM ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_AA ,S/4HANA unabhängig von GBI ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.02.19	12:05:54,H2851SF2 ,2024.03.10	18:00:22,BORYS ,H2891 Hochschule Neu-Ulm ,H2891MP1 Herr Max Priester ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.02.19	12:05:53,2024.03.10	18:00:22
2000015076,Einrichtung der GUI bei Macs ,ZSD_SR_TERP ,TERP 10 ,ZSD_SR_TERP_SE ,System Erreichbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.20	11:26:08,H2505LS1 ,2024.03.17	18:00:12,BORYS ,H2505 Hochschulen Fresenius ,H2505LS1 Herr Lars Schulte ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.02.20	11:26:08,2024.03.17	18:00:12
2000015077,Umstellung auf das aktuelle SAP-System ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.20	11:53:48,H2211NT1 ,2024.03.11	18:00:07,BORYS ,H2211 Leuphana Universität Lüneburg ,H2211NT1 Herr Norbert Tschritter ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.20	11:53:48,2024.03.11	18:00:07
2000015078,Request a new GBI 4.1 for FPT ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.21	04:01:24,U2AU002SB1 ,2024.03.13	18:00:14,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.21	04:01:24,2024.03.13	18:00:14
2000015079,S4/HANA - unable to load data error ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_FP ,Fallstudienproblem ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.02.21	09:26:41,H2851US4 ,2024.03.05	14:40:15,H2851NB3 , ,U2GB005SM4 Herr Sanjeeb Mohanty ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.21	09:26:41,2024.02.21	11:32:55
2000015080,Datenservice interner Serverfehler ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.21	11:15:40,H2681VL1 ,2024.02.22	15:22:07,H2681VL1 ,H2681 Duale Hochschule Baden-Württemberg - DHBW ,H2681VL1 Herr Volker Lanninger ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.21	11:15:40,2024.02.21	13:55:11
2000015081,Error: Failure - Unable to load groups ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Applikation ,GBI ,1: sehr hoch ,E0008 Quittiert ,2024.02.21	11:37:01,U2GB006UJ1 ,2024.04.15	11:48:34,H2851TT7 ,U2GB006 Loughborough University ,U2GB006UJ1 Herr Uchitha Jayawickrama ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.21	11:37:01,2024.03.08	16:49:37
2000015082,Zugangsdaten S87 Mandt 333 nach Reset ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.21	11:49:50,H2891GW1 ,2024.03.12	18:00:10,BORYS ,H2891 Hochschule Neu-Ulm ,H2891GW1 Herr Gerhard Welte ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.21	11:49:50,2024.03.12	18:00:09
2000015083,Request GBI 4.1 for SCU ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.21	12:01:35,U2AU002SB1 ,2024.03.05	14:40:48,H2851NB3 ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.21	12:01:35,2024.02.27	11:24:16
2000015084,SAP-T Berechtigung ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.22	09:07:15,H2741NT1 ,2024.03.13	18:00:16,BORYS ,H2741 Hochschule Heilbronn ,H2741NT1 Herr n/v T-User Hochschule Heilbronn ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.02.22	09:07:14,2024.03.13	18:00:16
2000015085,Teachers Access Validatin and New Acess ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0005 Lösungsvorschlag ,2024.02.22	14:20:16,U2PT022FE1 ,2024.03.04	13:14:55,H2851US4 ,U2PT022 Instituto Politécnico de Setúbal ,U2PT022FE1 Herr Francisco Esteves ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.22	14:20:16,2024.03.04	13:14:55
2000015086,Reset - kein Masterpasswort erhalten ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.22	15:43:57,H2741NT1 ,2024.03.14	18:00:22,BORYS ,H2741 Hochschule Heilbronn ,H2741NT1 Herr n/v T-User Hochschule Heilbronn ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.22	15:43:56,2024.03.14	18:00:22
2000015087,Einweisungsschulung zu FIORI ,ZSD_SR_AA ,Allgemeine Anfragen , , ,2. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.23	08:17:03,H2851US4 ,2024.04.23	18:00:19,MASTER-ADM ,H2501 Bundesfinanzakademie BFA Brühl vertragsführende Stelle: ITZ Bund Bonn ,H2501BM1 Herr Bernhard Münch ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.23	08:17:03,2024.04.23	18:00:19
2000015088,LeanIX für die Lehre ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,2. Level ,Vertrag ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.02.23	15:25:08,H2851US4 ,2024.03.06	10:14:46,H2601GW1 ,H2601 Frankfurt University of Applied Sciences ,H2601GW1 Frau Gabriela Werb ,0000000048 SEK Verwaltung ,H2851CS3 Frau Christine Starflinger,2024.02.23	15:25:08,2024.03.04	17:49:23
2000015089,Freischaltung WebServiceSAP -S95/738/739,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_SON ,Sonstiges ,2. Level ,Applikation ,SAP4School ,3: mittel ,E0008 Quittiert ,2024.02.23	19:22:16,H2808HD1 ,2024.04.03	18:00:30,BORYS ,H2808 Staatsinstitut für Schulqualität und Bildungsforschung München - ISB ,H2808HD1 Herr Harald Decker ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.23	19:22:16,2024.04.03	18:00:29
2000015090,SAP GUI Terminalserver und Thin-Client ,ZSD_SR_GUI ,SAP GUI , , ,1. Level ,Applikation ,SAP4School ,3: mittel ,E0008 Quittiert ,2024.02.23	23:29:37,H2956JH1 ,2024.03.17	18:00:10,BORYS ,H2956 Staatliche Berufsschule 1 Bayreuth ,H2956JH1 Herr Johannes Hösl ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.23	23:29:37,2024.03.17	18:00:10
2000015091,Extrem schlechte Fiori-Performance ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.24	10:13:45,H2831AK1 ,2024.03.18	18:00:07,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.02.24	10:13:44,2024.03.18	18:00:07
2000015092,Issue with Reconciliation account in S77,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.26	07:01:40,U2AU002SB1 ,2024.04.14	18:00:18,MASTER-ADM ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.26	07:01:40,2024.04.14	18:00:18
2000015093,GBI issue with step 9 of MM module ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.26	07:30:41,U2AU002SB1 ,2024.03.18	18:00:07,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.02.26	07:30:41,2024.03.18	18:00:07
2000015094,New Key Features in Introduction to S/4H,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_SE ,System Erreichbarkeit ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.26	11:46:48,U2PL038LS1 ,2024.03.24	18:00:45,BORYS ,U2PL038 Calisia University ,U2PL038LS1 Herr Leszek Szczupak ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.26	11:46:48,2024.03.24	18:00:45
2000015095,Lieferantenangebote vergleichen ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.26	11:56:15,H2681VL1 ,2024.03.27	18:00:23,BORYS ,H2681 Duale Hochschule Baden-Württemberg - DHBW ,H2681VL1 Herr Volker Lanninger ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.02.26	11:56:15,2024.03.27	18:00:23
2000015096,password ,ZSD_SR_SIM ,SAP ERPsim ,ZSD_SR_SIM_PRM ,Passwortrücksetzung für ERPSim-User ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.26	16:18:48,U2ES001AO1 ,2024.03.18	18:00:08,BORYS ,U2ES001 Public University of Navarra - UPNA ,U2ES001AO1 Frau Andrea Ollo-Lopez ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.26	16:18:48,2024.03.18	18:00:08
2000015097,Assign S25 to client 324 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,2. Level , , ,2: hoch ,E0008 Quittiert ,2024.02.27	02:27:09,U2AU002SB1 ,2024.02.28	08:52:00,H2851NB3 ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.27	02:27:09,2024.02.28	08:51:52
2000015098,SAP Datasphere - issue ,ZSD_SR_BO ,SAP Netweaver Business Objects ,ZSD_SR_BO_SE ,Systemverfügbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.27	09:35:38,U2PL010SS1 ,2024.03.18	18:00:08,BORYS ,U2PL010 WSB Merito University in Wroclaw ,U2PL010SS1 Herr Sebastian Sobczyk ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.27	09:35:38,2024.03.18	18:00:08
2000015099,Fehler "Markieren Sie eine Zeile" ,ZSD_SR_TERP ,TERP10/TS410 ,ZSD_SR_TERP_FP ,Fallstudienproblem ,2. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.27	09:49:06,H2371MG1 ,2024.02.28	08:48:49,H2851NB3 ,H2371 Georg-August-Universität Göttingen ,H2371MG1 Herr Michael Groth ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.27	09:49:06,2024.02.28	08:48:49
2000015100,Query about the (GB 4.1?) version SAPGUI,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.27	10:32:56,U2GB037JC1 ,2024.03.18	18:00:09,BORYS ,U2GB037 Royal Holloway University of London ,U2GB037JC1 Frau Julia Charlton ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.27	10:32:56,2024.03.18	18:00:09
2000015101,Fehlende Rechte bei neuem Account ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_SA ,Stammdaten/Ansprechpartner ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.27	10:47:53,H2371MG1 ,2024.02.27	13:15:29,H2371MG1 ,H2371 Georg-August-Universität Göttingen ,H2371MG1 Herr Michael Groth ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.02.27	10:47:53,2024.02.27	13:06:59
2000015102,Nutzung Neue Version GBI 4.2 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.27	11:03:35,H2804AR1 ,2024.03.27	18:00:24,BORYS ,H2804 VWA München ,H2804AR1 Herr Alfons Rimmele ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.02.27	11:03:35,2024.03.27	18:00:24
2000015103,Passwortrücksetzung schief gelaufen ,ZSD_SR_GUI ,SAP GUI , , ,1. Level , , ,2: hoch ,E0008 Quittiert ,2024.02.27	18:01:49,H2711FB1 ,2024.03.11	08:24:22,H2851US4 ,H2711 Technisches Schulzentrum Sindelfingen GDS2 Gottlieb Daimler Schule 2 ,H2711FB1 Herr Frank Burger ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.02.27	18:01:49,2024.02.28	08:25:31
2000015104,How to delete/flag for deletion master ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.27	19:08:39,U2GB041GK1 ,2024.03.19	18:00:04,BORYS ,U2GB041 University of Greenwich ,U2GB041GK1 Herr Gerhard Kristandl ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.02.27	19:08:39,2024.03.19	18:00:04
2000015105,Problem Anlegen Learn-User ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI/GBS Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.02.28	13:17:41,H2851US4 ,2024.03.20	18:00:17,BORYS ,H2831AF1 Alexandra Fischer ,H2831AF1 Frau Alexandra Fischer ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.02.28	13:17:41,2024.03.20	18:00:17
2000015106,Ressource wird nicht angezeigt ,ZSD_SR_TERP ,TERP 10 ,ZSD_SR_TERP_FP ,Fallstudienproblem ,2. Level ,Applikation ,TS410 ,3: mittel ,E0008 Quittiert ,2024.02.28	16:14:49,H2371TM1 ,2024.02.29	16:39:11,H2371TM1 ,H2371 Georg-August-Universität Göttingen ,H2371TM1 Herr Tamino Marahrens ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.28	16:14:49,2024.02.29	10:41:13
2000015107,Auslieferung mit Auftragsbezug ,ZSD_SR_TERP ,TERP10/TS410 ,ZSD_SR_TERP_FP ,Fallstudienproblem ,2. Level ,Applikation ,TS410 ,3: mittel ,E0008 Quittiert ,2024.02.28	16:34:24,H2371TM1 ,2024.03.25	18:00:05,BORYS ,H2371 Georg-August-Universität Göttingen ,H2371TM1 Herr Tamino Marahrens ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.02.28	16:34:24,2024.03.25	18:00:05
2000015108,AFA Buchungslauf läuft zu lange ,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_SON ,Sonstiges ,2. Level ,Basis ,HANA ,3: mittel ,E0008 Quittiert ,2024.02.29	13:29:11,H2592MW1 ,2024.03.08	08:12:23,H2851SF2 ,H2592 Hochschule für Finanzen NRW www.fhf-nordkirchen.de ,H2592MW1 Herr Michael Wendt ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.02.29	13:29:11,2024.03.01	08:37:03
2000015109,HANA Zugang für das K02 S/4-System ,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_SON ,Sonstiges ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.02.29	17:10:22,H2891MP1 ,2024.04.02	18:00:13,BORYS ,H2891 Hochschule Neu-Ulm ,H2891MP1 Herr Max Priester ,0000000046 BAS Basis ,H2851SF2 Herr Simon Fuchs,2024.02.29	17:10:22,2024.04.02	18:00:13
2000015110,Registerkarte Personenzuordnung fehlt ,ZSD_SR_TERP ,TERP10/TS410 ,ZSD_SR_TERP_FP ,Fallstudienproblem ,2. Level , , ,3: mittel ,E0008 Quittiert ,2024.02.29	17:31:30,H2371TM1 ,2024.04.04	11:10:36,H2371TM1 ,H2371 Georg-August-Universität Göttingen ,H2371TM1 Herr Tamino Marahrens ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.02.29	17:31:30,2024.03.01	15:26:58
2000015111,System Error 503 ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.02.29	19:16:53,U2GR006SG1 ,2024.03.05	09:15:21,H2851NB3 ,U2GR006 National Technical University of Athens - NTUA ,U2GR006SG1 Herr Sotiris Gayialis ,0000040551 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.02.29	19:16:52,2024.03.05	09:15:00
2000015112,SAP Erreichbarkeit ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.03	10:56:58,H2852RS1 ,2024.03.24	18:00:49,BORYS ,H2852 Technikerschule der Stadt Ingolstadt - TSIN ,H2852RS1 Frau Regina Herzog ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.03.03	10:56:58,2024.03.24	18:00:49
2000015113,Access to S/4HANA with GBI 4.2 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.03	12:42:04,U2PT006JC1 ,2024.04.07	18:00:06,BORYS ,U2PT006 NOVA IMS Information Management School ,U2PT006JC1 Herr Jorge Carrola Rodrigues ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.03	12:42:04,2024.04.07	18:00:06
2000015114,System not available ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,2. Level ,Basis ,GBI ,1: sehr hoch ,E0008 Quittiert ,2024.03.03	12:54:18,U2IL026LL1 ,2024.03.05	14:33:49,H2851TT7 ,U2IL026 HAC Hadassah Academic College ,U2IL026LL1 Herr lya Birfer lya Birfer ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.03.03	12:54:18,2024.03.05	13:41:26
